Placed: 99, lrp: 1.0000000000000002
Placed: 109, lrp: 0.9784935856415702
Placed: 119, lrp: 0.9606568474151079
Placed: 130, lrp: 0.9422064325026094
Placed: 140, lrp: 0.9189862779532894
Placed: 151, lrp: 0.8959305425087642
Placed: 163, lrp: 0.8808641217860504
Placed: 175, lrp: 0.8602010510399247
Placed: 187, lrp: 0.8415914242116814
Placed: 199, lrp: 0.8185303093876563
Placed: 212, lrp: 0.8014600839794614
Placed: 226, lrp: 0.7839532345636925
Placed: 239, lrp: 0.7648358054045766
Placed: 254, lrp: 0.7484143836901184
Placed: 267, lrp: 0.7280624850839117
Placed: 281, lrp: 0.7076021909155503
Placed: 294, lrp: 0.6864105410356623
Placed: 309, lrp: 0.667323805449879
Placed: 323, lrp: 0.6478162785018592
Placed: 338, lrp: 0.6281672645532791
Placed: 356, lrp: 0.6151196525692043
Placed: 371, lrp: 0.595112288137438
Placed: 387, lrp: 0.5781373061186743
Placed: 402, lrp: 0.5581384087909849
Placed: 416, lrp: 0.5382269931806896
Placed: 431, lrp: 0.5182906052104531
Placed: 446, lrp: 0.49981672594228305
Placed: 465, lrp: 0.4843465364524754
Placed: 483, lrp: 0.4690120757188311
Placed: 499, lrp: 0.4506849911957832
Placed: 513, lrp: 0.43198632800056797
Placed: 528, lrp: 0.4132581026420766
Placed: 546, lrp: 0.39802828960527803
Placed: 565, lrp: 0.38256323965958894
Placed: 582, lrp: 0.3669760815686176
Placed: 604, lrp: 0.35356111312120203
Placed: 623, lrp: 0.3394743125806188
Placed: 643, lrp: 0.3251645978221616
Placed: 676, lrp: 0.31801347269530955
Placed: 710, lrp: 0.3102179179152032
Placed: 742, lrp: 0.3021954752863671
Placed: 770, lrp: 0.29177157628612727
Placed: 810, lrp: 0.2863134620017202
Placed: 856, lrp: 0.2818821914140541
Placed: 884, lrp: 0.27227440236474604
Placed: 953, lrp: 0.2738708632757127
Placed: 998, lrp: 0.26896171544205427
Placed: 1077, lrp: 0.2718743365462423
Placed: 1096, lrp: 0.26043854401232625
Placed: 1225, lrp: 0.27324760595349956
Placed: 1286, lrp: 0.2711131147932847
Placed: 1368, lrp: 0.2724593207000994
Placed: 1428, lrp: 0.2695910307121755
Placed: 1464, lrp: 0.2618535267745825
Placed: 1556, lrp: 0.2640254082131928
Placed: 1624, lrp: 0.26155292486926734
Placed: 1722, lrp: 0.26381897692450423
Placed: 1805, lrp: 0.2631850213060557
Placed: 1908, lrp: 0.2653794298907007
Placed: 2002, lrp: 0.26573468432062286
Placed: 2101, lrp: 0.2667307416735825
Placed: 2179, lrp: 0.2646398768291334
Placed: 2202, lrp: 0.2562471271903927
Placed: 2308, lrp: 0.25697760637353123
Placed: 2410, lrp: 0.25727587437487054
Placed: 2501, lrp: 0.2560062243664801
Placed: 2540, lrp: 0.24967882451560836
Placed: 2667, lrp: 0.25149536062289024
Placed: 2785, lrp: 0.25244827143490256
Placed: 2885, lrp: 0.2514252534061372
Placed: 3010, lrp: 0.25253680363299824
Placed: 3038, lrp: 0.24543371366215036
Placed: 3154, lrp: 0.2454377270396454
Placed: 3353, lrp: 0.25133394433610934
Placed: 3526, lrp: 0.25517000495259173
Placed: 3652, lrp: 0.2553000213905778
Placed: 3757, lrp: 0.254000273232162
Placed: 3790, lrp: 0.24777161284538565
Placed: 3921, lrp: 0.24793642352532094
Placed: 4027, lrp: 0.2463107075133971
Placed: 4073, lrp: 0.24118715955890507
Placed: 4356, lrp: 0.24955016200054622
Placed: 4470, lrp: 0.2482942689195529
Placed: 4561, lrp: 0.2456084017496597
Placed: 4676, lrp: 0.244246259093051
Placed: 4883, lrp: 0.2473761274700851
Placed: 5042, lrp: 0.24805521317432858
Placed: 5183, lrp: 0.24765320911615826
Placed: 5300, lrp: 0.24615321318404632
Placed: 5460, lrp: 0.24644195626844195
Placed: 5626, lrp: 0.24698987772364767
Placed: 5720, lrp: 0.24426649189654476
Placed: 5905, lrp: 0.2453990702429969
Placed: 5999, lrp: 0.24264783036984428
Placed: 6083, lrp: 0.23957772503044283
Placed: 6213, lrp: 0.2381834251031694
Placed: 6296, lrp: 0.23507362916636337
Placed: 6353, lrp: 0.23093764530945612
Placed: 6486, lrp: 0.22960000288949892
Placed: 6661, lrp: 0.22958703289836982
Placed: 6803, lrp: 0.2284713761473793
Placed: 6869, lrp: 0.22474754094328578
Placed: 7112, lrp: 0.2267593211144191
Placed: 7297, lrp: 0.22677691730944866
Placed: 7518, lrp: 0.22788738898427643
Placed: 7706, lrp: 0.22785915368695106
Placed: 7905, lrp: 0.2281520943108005
Placed: 7974, lrp: 0.22464685894569808
Placed: 8164, lrp: 0.22455164507414374
Placed: 8371, lrp: 0.2247909615848372
Placed: 8632, lrp: 0.22644414452697148
Placed: 8933, lrp: 0.22896653883327295
Placed: 9097, lrp: 0.22800273682881725
Placed: 9279, lrp: 0.22738912209895443
Placed: 9515, lrp: 0.2280841193882664
Placed: 9712, lrp: 0.22774241539747253
Placed: 9816, lrp: 0.22527636322742892
Placed: 10041, lrp: 0.22547606928989655
